"fecha_deteccion","fuente","identificador","fecha_registro","entidad","grupo","nivel_relacion","valor"
2026-08-19 21:33:02,procesos,CO1.REQ.10822228,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10866522,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,10653000
2026-08-19 21:33:02,procesos,CO1.REQ.10822409,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,6000000
2026-08-19 21:33:02,procesos,CO1.REQ.10868408,2026-08-18,GOBERNACION DEL VALLE DEL CAUCA - DEPARTAMENTO ADMINISTRATIVO DE PLANEACION,Gobernación del Valle,Contexto,6000000
2026-08-19 21:33:02,procesos,CO1.REQ.10865195,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10866645,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,14415000
2026-08-19 21:33:02,procesos,CO1.REQ.10864820,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10869244,2026-08-18,GOBERNACION DEL VALLE DEL CAUCA - DADI,Gobernación del Valle,Contexto,2500000
2026-08-19 21:33:02,procesos,CO1.REQ.10862924,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,14415000
2026-08-19 21:33:02,procesos,CO1.REQ.10866652,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,8376000
